nombre,biografia,oyentes,reproducciones,similares
Yves V,"Yves Van Geertsom, (Amberes, Bélgica, 10 de abril de 1981) conocido artísticamente como Yves V, es un disc jockey belga de los géneros electro house y progressive house.

Tras su gran actuación en el Tomorrowland de 2007 se convirtió en un DJ famoso en todo el mundo.​ También ha actuado en otros festivales como TomorrowWorld, Sensation y Misteryland. También ha pinchado en algunos de los mejores clubes del mundo. En 2009 su remix ""Insane Pressure"" le hizo entrar en las listas musicales de Francia. <a href=""https://www.last.fm/music/Yves+V"">Read more on Last.fm</a>",286319,2828847,"['R3hab', 'Vize', 'Quintino', 'Sam Feldt', 'Vinai']"
Wande Coal," <a href=""https://www.last.fm/music/Wande+Coal"">Read more on Last.fm</a>",103209,1213958,"['Olamide', 'Kizz Daniel', 'Wizkid', 'Fireboy DML', 'Davido']"
Djodje," <a href=""https://www.last.fm/music/Djodje"">Read more on Last.fm</a>",17669,243458,"['Landrick', 'C4 Pedro', 'Yudi Fox', 'Jay Oliver', 'Messias Maricoa']"
Wizkid,"Ayodeji Ibrahim Balogun, más conocido por su nombre artístico, Wizkid, Wizzy, Big Wiz, Machala o Starboy, es un cantante y compositor nigeriano.​ <a href=""https://www.last.fm/music/Wizkid"">Read more on Last.fm</a>",549351,12917973,"['Asake', 'Seyi Vibez', 'BNXN', 'Olamide', 'DJ Tunez']"
Davido,"David Adedeji Adeleke, conocido por su nombre artístico Davido, es un cantante, compositor y productor discográfico estadounidense-nigeriano.​​Nacido en Atlanta, Davido creció en Lagos e hizo su debut musical como integrante de la agrupación KB International junto a sus primos B-Red y Sina Rambo. <a href=""https://www.last.fm/music/Davido"">Read more on Last.fm</a>",270602,5282379,"['Olamide', 'Fireboy DML', 'Asake', 'Young Jonn', 'Kizz Daniel']"
Boy Teddy," <a href=""https://www.last.fm/music/Boy+Teddy"">Read more on Last.fm</a>",7667,67124,"['Messias Maricoa', 'Filomena Maricoa', 'Juvencio Luyiz', 'Master Jake', 'B4']"
C4 Pedro," <a href=""https://www.last.fm/music/C4+Pedro"">Read more on Last.fm</a>",15733,205112,"['Landrick', 'Djodje', 'Yudi Fox', 'Master Jake', 'Jay Oliver']"
Tekno," <a href=""https://www.last.fm/music/Tekno"">Read more on Last.fm</a>",149693,1570708,"['Davido', 'Reekado Banks', 'Maleek Berry', 'Patoranking', 'Wizkid']"
Dele Sosimi," <a href=""https://www.last.fm/music/Dele+Sosimi"">Read more on Last.fm</a>",41528,192995,"['Ebo Taylor', 'Gyedu-Blay Ambolley', 'Tony Allen', 'Antibalas Afrobeat Orchestra', 'The Souljazz Orchestra']"
Sarkodie," <a href=""https://www.last.fm/music/Sarkodie"">Read more on Last.fm</a>",33688,3774565,"['Black Sherif', 'King Promise', 'Olivetheboy', 'Stonebwoy', 'Kidi']"
Ruff-N-Smooth," <a href=""https://www.last.fm/music/Ruff-N-Smooth"">Read more on Last.fm</a>",4009,31885,"['Amerado', 'Dr Sid', 'Durella', 'DopeNation', 'Deng']"
Mr Eazi,"Oluwatosin Oluwole Ajibade, más conocido por su nombre artístico Mr Eazi, es un cantante, compositor y ejecutivo discográfico nigeriano. Es el pionero de la música Banku, una fusión de sonido que describe como una mezcla de la alta vida ghanesa y las progresiones y patrones de acordes nigerianos. <a href=""https://www.last.fm/music/Mr+Eazi"">Read more on Last.fm</a>",143850,1520408,"['Patoranking', 'Davido', 'Mayorkun', 'Fireboy DML', 'Ruger']"
Master Jake," <a href=""https://www.last.fm/music/Master+Jake"">Read more on Last.fm</a>",17221,118029,"['C4 Pedro', 'Djodje', 'Landrick', 'Loony Johnson', 'Johnny Ramos']"
Eugy," <a href=""https://www.last.fm/music/Eugy"">Read more on Last.fm</a>",32518,218682,"['Yung L', 'Lotto Boyzz', 'Blaq Jerzee', 'A-Star', 'Peruzzi']"
Bebi Philip," <a href=""https://www.last.fm/music/Bebi+Philip"">Read more on Last.fm</a>",2190,16372,"['Serge Beynaud', 'Debordo Leekunfa', 'Ariel Sheney', ""Obam's"", 'Kiff No Beat']"
Patoranking," <a href=""https://www.last.fm/music/Patoranking"">Read more on Last.fm</a>",47136,439525,"['RUNTOWN', 'Kizz Daniel', 'Timaya', 'Davido', 'Ruger']"
DjeuhDjoah," <a href=""https://www.last.fm/music/DjeuhDjoah"">Read more on Last.fm</a>",41499,253110,"['David Walters', 'The Bongo Hop', 'Voilaaa', 'Sébastien Tellier', 'Dowdelin']"
Ravidson," <a href=""https://www.last.fm/music/Ravidson"">Read more on Last.fm</a>",3114,23578,"['Jennifer Dias', 'Soraia Ramos', 'Elizio', 'Neyna', 'Supa Squad']"
DREAM BOYZ," <a href=""https://www.last.fm/music/DREAM+BOYZ"">Read more on Last.fm</a>",4632,37246,"['Landrick', 'Jay Oliver', 'Djodje', 'Jey V', 'Cláudio Ismael']"
The Souljazz Orchestra," <a href=""https://www.last.fm/music/The+Souljazz+Orchestra"">Read more on Last.fm</a>",136586,1364129,"['Antibalas Afrobeat Orchestra', 'Ebo Taylor', 'The Budos Band', 'Vaudou Game', 'Ikebe Shakedown']"
Timaya," <a href=""https://www.last.fm/music/Timaya"">Read more on Last.fm</a>",56791,525580,"['Phyno', 'P-Square', 'Ice Prince', 'Patoranking', 'RUNTOWN']"
Sergio Cremonese," <a href=""https://www.last.fm/music/Sergio+Cremonese"">Read more on Last.fm</a>",449,1147,"['Canzoni Di Natale Di Babbo Natale', 'Daniel Santacruz', 'I Mitici Angioletti', 'Juvencio Luyiz', 'Boy Teddy']"
Jennifer Dias," <a href=""https://www.last.fm/music/Jennifer+Dias"">Read more on Last.fm</a>",4932,51436,"['Elji Beatzkilla', 'G-Amado', 'Djodje', 'Mika Mendes', 'Vanda May']"
Dotorado Pro," <a href=""https://www.last.fm/music/Dotorado+Pro"">Read more on Last.fm</a>",10437,64084,"['Nerú Americano', 'Carlos Monsta', 'Crazy Baby Produções', 'Ingomblock', 'Yuri Da cunha']"
Marumo," <a href=""https://www.last.fm/music/Marumo"">Read more on Last.fm</a>",18018,73337,"['Harari', 'Kamazu', 'Penny Penny', 'Chicco', 'Professor Rhythm']"
Mykel Forever," <a href=""https://www.last.fm/music/Mykel+Forever"">Read more on Last.fm</a>",788,4735,"['Elji Beatzkilla', 'Nuxito', 'Atım', 'Dj Puto X', 'Saaphy']"
Jay Oliver," <a href=""https://www.last.fm/music/Jay+Oliver"">Read more on Last.fm</a>",3138,22962,"['Landrick', 'Yudi Fox', 'Nuno Abdul', 'Djodje', 'C4 Pedro']"
Don Miguelo,"Don Miguelo es un nuevo cantante de la República Dominicana, nacido en la ciudad de San Francisco de Macorís.Su primera canción fue Que tu quiere mejor reconocido como La cola de Motora. Contra el Tiempo es su primer álbum, el cual contiene Ay Que Tú Quiere, Acelerao Y Pico y El Ponchao, entre otros. El disco fue mezclado y creado en la República Dominicana, e incluye el trabajo de Rafy Mercenario, Frank Reyes y Monchy & Alexandra. <a href=""https://www.last.fm/music/Don+Miguelo"">Read more on Last.fm</a>",117581,916793,"['El Alfa', 'Chimbala', 'Bulin 47', 'Rochy RD', 'Ozuna']"
